,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Chance of Admit,Research_No,Research_Yes,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit,Predict_Chance_of_Admit
262,299,100,3,2.0,3.0,7.42,0.42,1,0,0.42,0.42,42.0,0.42,0.42,0.42
263,311,101,2,2.5,3.5,8.34,0.7,0,1,0.7,0.7,70.0,0.7,0.7,0.7
264,318,106,2,4.0,4.0,7.92,0.64,0,1,0.64,0.64,64.0,0.64,0.64,0.64
265,316,111,4,4.0,5.0,8.54,0.71,1,0,0.71,0.71,71.0,0.71,0.71,0.71
266,323,113,3,4.0,3.0,9.32,0.85,0,1,0.85,0.85,85.0,0.85,0.85,0.85
267,308,106,3,3.0,3.0,8.24,0.58,1,0,0.58,0.58,57.99999999999999,0.58,0.58,0.58
268,308,106,3,3.5,2.5,8.21,0.75,0,1,0.75,0.75,75.0,0.75,0.75,0.75
269,315,99,2,3.5,3.0,7.89,0.63,1,0,0.63,0.63,63.0,0.63,0.63,0.63
270,312,98,1,3.5,3.0,8.18,0.64,0,1,0.64,0.64,64.0,0.64,0.64,0.64
271,294,95,1,1.5,1.5,7.64,0.49,1,0,0.49,0.49,49.0,0.49,0.49,0.49
272,300,95,2,3.0,1.5,8.22,0.62,0,1,0.62,0.62,62.0,0.62,0.62,0.62
273,304,100,2,3.5,3.0,8.22,0.63,1,0,0.63,0.63,63.0,0.63,0.63,0.63
274,326,112,3,3.5,3.0,9.05,0.74,0,1,0.74,0.74,74.0,0.74,0.74,0.74
275,320,110,2,4.0,3.5,8.56,0.72,1,0,0.72,0.72,72.0,0.72,0.72,0.72
276,312,106,3,4.0,3.5,8.79,0.81,0,1,0.81,0.81,81.0,0.81,0.81,0.81
277,334,120,5,4.0,5.0,9.87,0.97,0,1,0.97,0.97,97.0,0.97,0.97,0.97
278,313,102,3,2.5,2.5,8.68,0.71,1,0,0.71,0.71,71.0,0.71,0.71,0.71
279,316,98,1,1.5,2.0,7.43,0.49,1,0,0.49,0.49,49.0,0.49,0.49,0.49
280,319,105,4,4.0,4.5,8.66,0.77,0,1,0.77,0.77,77.0,0.77,0.77,0.77
281,337,117,5,5.0,5.0,9.87,0.96,0,1,0.96,0.96,96.0,0.96,0.96,0.96
282,329,111,4,4.5,4.0,9.23,0.89,0,1,0.89,0.89,89.0,0.89,0.89,0.89
283,334,119,5,4.5,4.5,9.48,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
284,304,97,2,1.5,2.0,7.64,0.47,1,0,0.47,0.47,47.0,0.47,0.47,0.47
285,308,101,2,3.0,4.0,7.9,0.68,1,0,0.68,0.68,68.0,0.68,0.68,0.68
286,310,101,3,3.5,5.0,8.65,0.71,0,1,0.71,0.71,71.0,0.71,0.71,0.71
287,321,111,4,4.0,4.0,8.97,0.87,0,1,0.87,0.87,87.0,0.87,0.87,0.87
288,295,99,1,2.0,1.5,7.57,0.37,1,0,0.37,0.37,37.0,0.37,0.37,0.37
289,327,103,3,4.0,4.0,8.3,0.74,0,1,0.74,0.74,74.0,0.74,0.74,0.74
290,317,100,2,3.0,2.5,8.57,0.68,1,0,0.68,0.68,68.0,0.68,0.68,0.68
291,326,114,3,3.0,3.0,9.11,0.83,0,1,0.83,0.83,83.0,0.83,0.83,0.83
292,306,100,2,3.0,3.0,8.0,0.48,1,0,0.48,0.48,48.0,0.48,0.48,0.48
293,314,107,2,2.5,4.0,8.27,0.72,1,0,0.72,0.72,72.0,0.72,0.72,0.72
294,321,114,5,4.5,4.5,9.16,0.87,0,1,0.87,0.87,87.0,0.87,0.87,0.87
295,306,106,2,2.0,2.5,8.14,0.61,1,0,0.61,0.61,61.0,0.61,0.61,0.61
296,308,104,2,2.5,3.0,8.07,0.65,1,0,0.65,0.65,65.0,0.65,0.65,0.65
297,296,101,1,2.5,3.0,7.68,0.6,1,0,0.6,0.6,60.0,0.6,0.6,0.6
298,304,100,2,2.5,3.5,8.07,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
299,317,103,3,2.5,3.0,8.54,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
300,323,108,3,3.5,3.0,8.6,0.45,1,0,0.45,0.45,45.0,0.45,0.45,0.45
301,302,102,3,3.5,5.0,8.33,0.65,1,0,0.65,0.65,65.0,0.65,0.65,0.65
302,320,111,4,4.5,3.5,8.87,0.85,0,1,0.85,0.85,85.0,0.85,0.85,0.85
303,302,102,1,2.0,1.5,8.0,0.5,1,0,0.5,0.5,50.0,0.5,0.5,0.5
304,311,107,4,4.5,4.5,9.0,0.78,0,1,0.78,0.78,78.0,0.78,0.78,0.78
305,311,102,3,4.5,4.0,8.64,0.68,0,1,0.68,0.68,68.0,0.68,0.68,0.68
306,305,103,2,2.5,3.5,8.13,0.59,1,0,0.59,0.59,59.0,0.59,0.59,0.59
307,331,115,5,4.0,3.5,9.44,0.92,0,1,0.92,0.92,92.0,0.92,0.92,0.92
308,299,100,1,1.5,2.0,7.89,0.59,1,0,0.59,0.59,59.0,0.59,0.59,0.59
309,314,102,2,2.0,2.5,8.24,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
310,302,99,3,2.5,3.0,7.45,0.52,1,0,0.52,0.52,52.0,0.52,0.52,0.52
311,305,105,2,3.0,4.0,8.13,0.66,1,0,0.66,0.66,66.0,0.66,0.66,0.66
312,322,107,3,3.5,3.5,8.46,0.71,0,1,0.71,0.71,71.0,0.71,0.71,0.71
313,297,96,2,2.5,2.0,7.43,0.34,1,0,0.34,0.34,34.0,0.34,0.34,0.34
314,300,99,1,3.0,2.0,6.8,0.36,0,1,0.36,0.36,36.0,0.36,0.36,0.36
315,322,112,4,3.5,2.5,9.02,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
316,340,114,5,4.0,4.0,9.6,0.9,0,1,0.9,0.9,90.0,0.9,0.9,0.9
317,313,104,3,4.0,4.5,8.65,0.73,1,0,0.73,0.73,73.0,0.73,0.73,0.73
318,324,114,5,5.0,4.5,9.08,0.89,0,1,0.89,0.89,89.0,0.89,0.89,0.89
319,322,103,4,3.0,2.5,8.02,0.61,0,1,0.61,0.61,61.0,0.61,0.61,0.61
320,313,107,2,2.5,2.0,8.5,0.53,0,1,0.53,0.53,53.0,0.53,0.53,0.53
321,327,118,4,5.0,5.0,9.67,0.93,0,1,0.93,0.93,93.0,0.93,0.93,0.93
322,324,112,5,5.0,5.0,9.08,0.88,0,1,0.88,0.88,88.0,0.88,0.88,0.88
323,318,101,5,3.5,5.0,8.78,0.78,0,1,0.78,0.78,78.0,0.78,0.78,0.78
324,318,109,1,3.5,3.5,9.12,0.78,1,0,0.78,0.78,78.0,0.78,0.78,0.78
325,336,119,4,4.5,4.0,9.62,0.95,0,1,0.95,0.95,95.0,0.95,0.95,0.95
326,335,117,5,5.0,5.0,9.82,0.96,0,1,0.96,0.96,96.0,0.96,0.96,0.96
327,316,110,3,4.0,4.5,8.78,0.69,0,1,0.69,0.69,69.0,0.69,0.69,0.69
328,320,110,5,5.0,5.0,9.2,0.88,0,1,0.88,0.88,88.0,0.88,0.88,0.88
329,299,100,2,3.0,3.5,7.88,0.68,1,0,0.68,0.68,68.0,0.68,0.68,0.68
330,315,103,1,1.5,2.0,7.86,0.57,1,0,0.57,0.57,56.99999999999999,0.57,0.57,0.57
331,326,110,3,3.5,3.5,8.76,0.79,0,1,0.79,0.79,79.0,0.79,0.79,0.79
332,319,106,3,4.0,3.0,8.0,0.65,0,1,0.65,0.65,65.0,0.65,0.65,0.65
333,320,103,3,3.0,3.0,7.7,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
334,303,105,5,5.0,4.5,8.65,0.77,1,0,0.77,0.77,77.0,0.77,0.77,0.77
335,307,107,2,3.0,3.5,8.52,0.78,0,1,0.78,0.78,78.0,0.78,0.78,0.78
336,317,107,2,3.5,3.0,8.28,0.66,1,0,0.66,0.66,66.0,0.66,0.66,0.66
337,336,119,5,4.0,3.5,9.8,0.97,0,1,0.97,0.97,97.0,0.97,0.97,0.97
338,328,112,4,4.0,4.5,9.1,0.78,0,1,0.78,0.78,78.0,0.78,0.78,0.78
339,315,107,2,4.0,3.0,8.5,0.56,0,1,0.56,0.56,56.00000000000001,0.56,0.56,0.56
340,331,117,4,4.5,5.0,9.42,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
341,299,102,3,4.0,3.5,8.62,0.56,1,0,0.56,0.56,56.00000000000001,0.56,0.56,0.56
342,334,119,5,4.5,5.0,9.54,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
343,308,102,2,2.0,3.5,7.98,0.58,0,1,0.58,0.58,57.99999999999999,0.58,0.58,0.58
344,303,102,3,3.5,3.0,8.5,0.62,1,0,0.62,0.62,62.0,0.62,0.62,0.62
345,320,110,5,5.0,4.5,9.22,0.92,0,1,0.92,0.92,92.0,0.92,0.92,0.92
346,324,110,3,3.5,3.5,9.04,0.82,0,1,0.82,0.82,82.0,0.82,0.82,0.82
347,302,99,2,1.0,2.0,7.97,0.56,1,0,0.56,0.56,56.00000000000001,0.56,0.56,0.56
348,301,99,2,3.0,2.0,8.22,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
349,312,99,1,1.0,1.5,8.01,0.52,0,1,0.52,0.52,52.0,0.52,0.52,0.52
350,326,114,4,4.0,3.5,9.16,0.86,0,1,0.86,0.86,86.0,0.86,0.86,0.86
351,335,118,5,4.5,3.5,9.44,0.93,0,1,0.93,0.93,93.0,0.93,0.93,0.93
352,318,100,2,2.5,3.5,8.54,0.71,0,1,0.71,0.71,71.0,0.71,0.71,0.71
353,301,97,2,3.0,3.0,7.88,0.44,0,1,0.44,0.44,44.0,0.44,0.44,0.44
354,322,109,5,4.5,3.5,8.8,0.76,1,0,0.76,0.76,76.0,0.76,0.76,0.76
355,323,104,3,4.0,4.0,8.44,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
356,290,100,1,1.5,2.0,7.56,0.47,1,0,0.47,0.47,47.0,0.47,0.47,0.47
357,309,105,5,3.5,3.5,8.56,0.71,1,0,0.71,0.71,71.0,0.71,0.71,0.71
358,325,110,4,4.5,4.0,8.96,0.79,0,1,0.79,0.79,79.0,0.79,0.79,0.79
359,318,109,3,3.0,3.0,8.5,0.67,1,0,0.67,0.67,67.0,0.67,0.67,0.67
360,315,105,3,2.0,2.5,8.34,0.7,1,0,0.7,0.7,70.0,0.7,0.7,0.7
361,311,103,3,2.0,4.0,8.09,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
362,324,112,4,4.5,4.0,9.22,0.86,0,1,0.86,0.86,86.0,0.86,0.86,0.86
363,298,101,4,2.5,4.5,7.69,0.53,0,1,0.53,0.53,53.0,0.53,0.53,0.53
364,322,110,3,4.0,5.0,8.64,0.85,0,1,0.85,0.85,85.0,0.85,0.85,0.85
365,312,104,3,3.5,3.5,8.42,0.74,1,0,0.74,0.74,74.0,0.74,0.74,0.74
366,301,104,2,3.5,3.5,7.89,0.68,0,1,0.68,0.68,68.0,0.68,0.68,0.68
367,307,108,2,4.0,3.5,7.7,0.48,1,0,0.48,0.48,48.0,0.48,0.48,0.48
368,313,98,3,2.5,4.5,8.3,0.76,0,1,0.76,0.76,76.0,0.76,0.76,0.76
369,322,110,5,4.5,4.0,8.97,0.78,1,0,0.78,0.78,78.0,0.78,0.78,0.78
370,305,102,2,2.0,2.5,8.18,0.62,1,0,0.62,0.62,62.0,0.62,0.62,0.62
371,296,99,2,2.5,2.5,8.03,0.61,1,0,0.61,0.61,61.0,0.61,0.61,0.61
372,290,104,4,2.0,2.5,7.46,0.45,1,0,0.45,0.45,45.0,0.45,0.45,0.45
373,326,112,4,4.0,3.5,9.12,0.84,0,1,0.84,0.84,84.0,0.84,0.84,0.84
374,319,103,4,4.5,3.5,8.66,0.76,1,0,0.76,0.76,76.0,0.76,0.76,0.76
375,298,98,2,4.0,3.0,8.03,0.34,1,0,0.34,0.34,34.0,0.34,0.34,0.34
376,307,105,4,3.0,3.0,7.94,0.62,1,0,0.62,0.62,62.0,0.62,0.62,0.62
377,332,117,4,4.5,4.0,9.1,0.87,1,0,0.87,0.87,87.0,0.87,0.87,0.87
378,308,103,2,3.0,3.5,8.49,0.66,1,0,0.66,0.66,66.0,0.66,0.66,0.66
379,323,107,4,3.0,2.5,8.48,0.78,0,1,0.78,0.78,78.0,0.78,0.78,0.78
380,311,99,2,2.5,3.0,7.98,0.65,1,0,0.65,0.65,65.0,0.65,0.65,0.65
381,300,101,3,3.5,2.5,7.88,0.59,1,0,0.59,0.59,59.0,0.59,0.59,0.59
382,312,104,3,3.5,4.0,8.09,0.71,1,0,0.71,0.71,71.0,0.71,0.71,0.71
383,315,104,3,4.0,2.5,8.1,0.65,1,0,0.65,0.65,65.0,0.65,0.65,0.65
384,308,108,4,4.5,5.0,8.34,0.77,1,0,0.77,0.77,77.0,0.77,0.77,0.77
385,299,106,2,4.0,4.0,8.4,0.64,1,0,0.64,0.64,64.0,0.64,0.64,0.64
386,311,104,2,2.0,2.0,8.3,0.42,1,0,0.42,0.42,42.0,0.42,0.42,0.42
387,335,117,5,5.0,5.0,9.56,0.94,0,1,0.94,0.94,94.0,0.94,0.94,0.94
388,308,110,4,3.5,3.0,8.6,0.7,1,0,0.7,0.7,70.0,0.7,0.7,0.7
389,296,99,2,3.0,3.5,7.28,0.47,1,0,0.47,0.47,47.0,0.47,0.47,0.47
390,316,105,2,2.5,2.5,8.2,0.49,0,1,0.49,0.49,49.0,0.49,0.49,0.49
391,316,103,2,2.0,4.5,8.74,0.69,1,0,0.69,0.69,69.0,0.69,0.69,0.69
392,309,104,2,2.0,2.5,8.26,0.65,1,0,0.65,0.65,65.0,0.65,0.65,0.65
393,312,103,3,3.5,4.0,8.78,0.67,1,0,0.67,0.67,67.0,0.67,0.67,0.67
394,322,110,5,5.0,4.0,9.1,0.88,0,1,0.88,0.88,88.0,0.88,0.88,0.88
395,316,110,3,3.5,4.0,8.56,0.75,1,0,0.75,0.75,75.0,0.75,0.75,0.75
396,302,110,3,4.0,4.5,8.5,0.65,1,0,0.65,0.65,65.0,0.65,0.65,0.65
397,312,107,4,4.5,4.0,8.65,0.73,0,1,0.73,0.73,73.0,0.73,0.73,0.73
398,298,99,1,1.5,3.0,7.46,0.53,1,0,0.53,0.53,53.0,0.53,0.53,0.53
399,324,113,4,4.5,4.0,8.79,0.76,1,0,0.76,0.76,76.0,0.76,0.76,0.76
